busID,voltage,phaseAngle,timestamp
B15,0.99,0.2,1751309784.4055018
B23,1.0,-5.8,1751309784.4056077
B24,1.01,0.5,1751309784.405624
B15,0.99,0.2,1751309786.4058552
B23,1.0,-5.8,1751309786.406192
B24,1.01,0.5,1751309786.4063635
B15,0.99,0.2,1751309788.4070635
B23,1.0,-5.8,1751309788.4071689
B24,1.01,0.5,1751309788.407184
B15,0.99,0.2,1751309790.4077997
B23,1.0,-5.8,1751309790.4079642
B24,1.01,0.5,1751309790.407972
B15,0.99,0.2,1751309792.408259
B23,1.0,-5.8,1751309792.4086156
B24,1.01,0.5,1751309792.4088006
B15,0.99,0.2,1751309854.7761745
B23,1.0,-5.8,1751309854.7762392
B24,1.01,0.5,1751309854.7762454
B15,0.99,0.2,1751309856.7765758
B23,1.0,-5.8,1751309856.7766483
B24,1.01,0.5,1751309856.7766538
B15,0.99,0.2,1751309858.7769804
B23,1.0,-5.8,1751309858.7770154
B24,1.01,0.5,1751309858.7770195
B15,0.99,0.2,1751309860.7772992
B23,1.0,-5.8,1751309860.7775683
B24,1.01,0.5,1751309860.777575
B15,0.99,0.2,1751309862.7778738
B23,1.0,-5.8,1751309862.7779093
B24,1.01,0.5,1751309862.777913
B15,0.99,0.2,1751309864.778271
B23,1.0,-5.8,1751309864.7785063
B24,1.01,0.5,1751309864.778513
