busID,voltage,phaseAngle,timestamp
B6,1.02,-5.3,1754681083.1420894
B9,1.01,0.5,1754681083.1427202
B10,0.99,0.2,1754681083.1427338
B17,0.98,-6.1,1754681083.142829
B20,0.99,0.2,1754681083.1428359
B21,1.02,-5.3,1754681083.1428387
B22,0.98,-6.1,1754681083.142841
B6,1.02,-5.3,1754681085.1430664
B9,1.01,0.5,1754681085.1431377
B10,0.99,0.2,1754681085.1431456
B17,0.98,-6.1,1754681085.143149
B20,0.99,0.2,1754681085.1431518
B21,1.02,-5.3,1754681085.1431544
B22,0.98,-6.1,1754681085.1431565
B6,1.02,-5.3,1754681087.143431
B9,1.01,0.5,1754681087.1435068
B10,0.99,0.2,1754681087.1435144
B17,0.98,-6.1,1754681087.143518
B20,0.99,0.2,1754681087.143521
B21,1.02,-5.3,1754681087.1435232
B22,0.98,-6.1,1754681087.1435256
B6,1.02,-5.3,1754681089.1439166
B9,1.01,0.5,1754681089.1439605
B10,0.99,0.2,1754681089.143965
B17,0.98,-6.1,1754681089.1439683
B20,0.99,0.2,1754681089.143971
B21,1.02,-5.3,1754681089.1439734
B22,0.98,-6.1,1754681089.143976
B6,1.02,-5.3,1754681091.1442604
B9,1.01,0.5,1754681091.144635
B10,0.99,0.2,1754681091.1446457
B17,0.98,-6.1,1754681091.1446497
B20,0.99,0.2,1754681091.1446528
B21,1.02,-5.3,1754681091.144655
B22,0.98,-6.1,1754681091.1446576
B6,1.02,-5.3,1754681093.144906
B9,1.01,0.5,1754681093.1451366
B10,0.99,0.2,1754681093.145147
B17,0.98,-6.1,1754681093.1451511
B20,0.99,0.2,1754681093.145154
B21,1.02,-5.3,1754681093.1451566
B22,0.98,-6.1,1754681093.1451592
B6,1.02,-5.3,1754681095.1452866
B9,1.01,0.5,1754681095.1453388
B10,0.99,0.2,1754681095.1453438
B17,0.98,-6.1,1754681095.1453476
B20,0.99,0.2,1754681095.1453505
B21,1.02,-5.3,1754681095.145353
B22,0.98,-6.1,1754681095.1453555
B6,1.02,-5.3,1754681097.1461704
B9,1.01,0.5,1754681097.1462805
B10,0.99,0.2,1754681097.146288
B17,0.98,-6.1,1754681097.146293
B20,0.99,0.2,1754681097.146297
B21,1.02,-5.3,1754681097.1463006
B22,0.98,-6.1,1754681097.1463044
B6,1.02,-5.3,1754681099.146835
B9,1.01,0.5,1754681099.1468947
B10,0.99,0.2,1754681099.1469
B17,0.98,-6.1,1754681099.1469038
B20,0.99,0.2,1754681099.1469064
B21,1.02,-5.3,1754681099.146909
B22,0.98,-6.1,1754681099.1469111
B6,1.02,-5.3,1754681101.1507974
B9,1.01,0.5,1754681101.1509194
B10,0.99,0.2,1754681101.150929
